fishing_vessel_mmsi,transshipment_vessel_mmsi,start_time,end_time,mean_latitude,mean_longitude,duration_hr,median_distance_km,median_speed_knots
416241500,577105000,2014-11-06T02:30:00Z,2014-11-06T05:40:00Z,40.8910967532,149.9276658786,3.1666666666666665,0.0297706114,0.7220097927
416241500,577105000,2014-11-11T01:10:00Z,2014-11-11T03:40:00Z,43.0404470843,155.99519708645002,2.5,0.0420974008,0.6841109989
416241500,577105000,2015-05-09T12:10:00Z,2015-05-09T18:00:00Z,-51.889965548750006,-62.67076475654999,5.833333333333333,0.0236492642,1.2840245828999999
416240500,577105000,2015-10-17T22:20:00Z,2015-10-18T01:30:00Z,40.6849857555,149.83321069295,3.1666666666666665,0.0466153172,1.06107044835
416240500,577105000,2013-08-30T23:00:00Z,2013-08-31T02:10:00Z,45.61181422005,157.06705238995,3.1666666666666665,0.0308000966,1.49511178885
416004729,577105000,2014-11-20T20:40:00Z,2014-11-21T04:10:00Z,39.07140025053478,146.7090533581826,7.5,0.03216172325,1.10535839765
416004729,577105000,2014-11-09T01:10:00Z,2014-11-09T04:20:00Z,41.72037637985,151.20802059855,3.1666666666666665,0.018512521,1.7032566607000001
416005007,577105000,2016-09-21T20:10:00Z,2016-09-22T03:50:00Z,45.52514568179999,157.94180917024997,7.666666666666667,0.035043959,0.7652118765
416005007,577105000,2016-09-29T20:10:00Z,2016-09-30T03:10:00Z,42.71844371265,152.74475720750002,7,0.0353513051,0.6943618402
416005007,577105000,2016-10-29T00:10:00Z,2016-10-29T07:00:00Z,40.86793605890546,150.1321363475891,6.833333333333333,0.02771489205,1.2292360332499999
416005007,577105000,2016-07-25T18:50:00Z,2016-07-26T02:20:00Z,48.21071559744999,162.48986185364998,7.5,0.0193499794,0.6994264343500001
416005007,577105000,2016-11-10T22:00:00Z,2016-11-11T06:40:00Z,38.829525871339754,150.0744096267458,8.666666666666666,0.0438237413,0.7375184124
416505000,577105000,2016-11-19T03:50:00Z,2016-11-19T07:30:00Z,39.0624308611,153.0615508197,3.6666666666666665,0.0414235363,1.2877173111
416536000,577105000,2013-11-14T23:40:00Z,2013-11-15T01:50:00Z,41.5620410647,151.1669145949,2.1666666666666665,0.0544842522,0.8407018338
416536000,577105000,2014-10-01T18:40:00Z,2014-10-02T15:50:00Z,40.8711276037,149.5620930351,21.166666666666668,0.0197807085,1.34217631
416536000,577105000,2016-09-26T21:40:00Z,2016-09-27T02:40:00Z,42.5750229604,152.1270120043,5,0.0484448938,0.5424980366
416536000,577105000,2016-11-13T01:50:00Z,2016-11-13T09:00:00Z,40.3003413375,152.0923927269,7.166666666666667,0.0339780773,0.8394455786
416536000,577105000,2014-11-16T01:10:00Z,2014-11-16T07:00:00Z,39.23389112484035,146.6997837821123,5.833333333333333,0.04055253805,0.9608601764
416536000,577105000,2013-09-01T01:20:00Z,2013-09-01T04:40:00Z,45.6601722803,157.11669654439999,3.3333333333333335,0.0161012641,1.4416590297999998
416240600,577105000,2016-07-24T19:10:00Z,2016-07-25T05:00:00Z,47.75832010469999,162.52527797095,9.833333333333334,0.0255721558,0.6328200044000001
416240600,577105000,2016-09-19T20:50:00Z,2016-09-20T03:30:00Z,45.94961960925,157.9626025357,6.666666666666667,0.0312916901,1.13702324415
416240600,577105000,2014-11-23T01:20:00Z,2014-11-23T04:50:00Z,38.717224336049995,146.9516454616,3.5,0.0565071265,1.3903481474000001
416240600,577105000,2014-10-03T20:20:00Z,2014-10-04T20:30:00Z,41.763308456722996,151.16471061111,24.166666666666668,0.035571015,1.2344563386
416240600,577105000,2015-10-15T16:40:00Z,2015-10-15T19:00:00Z,40.33782484125,150.2345925925,2.3333333333333335,0.0302422918,1.54786411165
416004853,577105000,2016-10-31T21:00:00Z,2016-11-01T01:10:00Z,39.445190170338094,147.80159846338452,4.166666666666667,0.0701454748,0.39869313995
416245500,577105000,2015-05-07T14:30:00Z,2015-05-07T17:20:00Z,-51.8286517131,-62.2440715474,2.8333333333333335,0.0329737448,1.0032816335
416245500,577105000,2016-03-22T09:50:00Z,2016-03-22T17:00:00Z,-46.54626076825,-60.379875680800005,7.166666666666667,0.0728157098,1.32933966975
416245500,577105000,2014-11-10T00:30:00Z,2014-11-10T03:40:00Z,43.2187431617,156.2531537546,3.1666666666666665,0.018605268300000002,1.2052876799
